id,Groups,GroupsId,shoummName,calorie,edible
1,"五谷类,豆类的食物热量表",1,油炸土豆片,612,100
2,"五谷类,豆类的食物热量表",1,黑芝麻,531,100
3,"五谷类,豆类的食物热量表",1,芝麻(白),517,100
4,"五谷类,豆类的食物热量表",1,油面筋,490,100
5,"五谷类,豆类的食物热量表",1,方便面,472,100
6,"五谷类,豆类的食物热量表",1,油饼,399,100
7,"五谷类,豆类的食物热量表",1,油条,386,100
8,"五谷类,豆类的食物热量表",1,莜麦面,385,100
9,"五谷类,豆类的食物热量表",1,燕麦片,367,100
10,"五谷类,豆类的食物热量表",1,小米,358,100
11,"五谷类,豆类的食物热量表",1,薏米,357,100
12,"五谷类,豆类的食物热量表",1,籼米(标一),351,100
13,"五谷类,豆类的食物热量表",1,高粱米,351,100
14,"五谷类,豆类的食物热量表",1,富强粉,350,100
15,"五谷类,豆类的食物热量表",1,通心粉,350,100
16,"五谷类,豆类的食物热量表",1,大黄米(黍),349,100
17,"五谷类,豆类的食物热量表",1,江米,348,100
18,"五谷类,豆类的食物热量表",1,粳米(标二),348,100
19,"五谷类,豆类的食物热量表",1,挂面(富强粉),347,100
20,"五谷类,豆类的食物热量表",1,机米,347,100
21,"五谷类,豆类的食物热量表",1,玉米糁,347,100
22,"五谷类,豆类的食物热量表",1,"米粉(干,细)",346,100
23,"五谷类,豆类的食物热量表",1,香大米,346,100
24,"五谷类,豆类的食物热量表",1,籼米(标二),345,100
25,"五谷类,豆类的食物热量表",1,挂面(标准粉),344,100
26,"五谷类,豆类的食物热量表",1,标准粉,344,100
27,"五谷类,豆类的食物热量表",1,血糯米,343,100
28,"五谷类,豆类的食物热量表",1,粳米(标一),343,100
29,"五谷类,豆类的食物热量表",1,黄米,342,100
30,"五谷类,豆类的食物热量表",1,玉米面(白),340,100
31,"五谷类,豆类的食物热量表",1,玉米面(黄),340,100
32,"五谷类,豆类的食物热量表",1,素虾(炸),576,100
33,"五谷类,豆类的食物热量表",1,腐竹皮,489,100
34,"五谷类,豆类的食物热量表",1,腐竹,459,100
35,"五谷类,豆类的食物热量表",1,豆浆粉,422,100
36,"五谷类,豆类的食物热量表",1,黄豆粉,418,100
37,"五谷类,豆类的食物热量表",1,豆腐皮,409,100
38,"五谷类,豆类的食物热量表",1,油炸豆瓣,405,100
39,"五谷类,豆类的食物热量表",1,油炸豆花,400,100
40,"五谷类,豆类的食物热量表",1,黑豆,381,100
41,"五谷类,豆类的食物热量表",1,黄豆,359,100
42,"五谷类,豆类的食物热量表",1,"蚕豆(干,去皮)",342,93
43,"五谷类,豆类的食物热量表",1,卤干,336,100
44,"五谷类,豆类的食物热量表",1,虎皮芸豆,334,100
45,"五谷类,豆类的食物热量表",1,绿豆面,330,100
46,"五谷类,豆类的食物热量表",1,绿豆,316,100
47,"五谷类,豆类的食物热量表",1,杂豆,316,100
48,"五谷类,豆类的食物热量表",1,红芸豆,314,100
49,"五谷类,豆类的食物热量表",1,豌豆(干),313,100
50,"五谷类,豆类的食物热量表",1,红小豆,309,100
51,"五谷类,豆类的食物热量表",1,杂芸豆(带皮),306,100
52,"五谷类,豆类的食物热量表",1,"蚕豆(干,带皮)",304,100
53,"五谷类,豆类的食物热量表",1,白芸豆,296,100
54,"五谷类,豆类的食物热量表",1,油豆腐,244,100
55,"五谷类,豆类的食物热量表",1,白薯干,612,100
56,"五谷类,豆类的食物热量表",1,土豆粉,337,100
57,"五谷类,豆类的食物热量表",1,粉条,337,100
58,"五谷类,豆类的食物热量表",1,地瓜粉,336,100
59,"五谷类,豆类的食物热量表",1,玉米(白),336,100
60,"五谷类,豆类的食物热量表",1,玉米(黄),335,100
61,"五谷类,豆类的食物热量表",1,粉丝,335,100
62,"五谷类,豆类的食物热量表",1,黑米,333,100
63,"五谷类,豆类的食物热量表",1,煎饼,333,100
64,"五谷类,豆类的食物热量表",1,大麦,307,100
65,"五谷类,豆类的食物热量表",1,荞麦粉,304,100
66,"五谷类,豆类的食物热量表",1,烧饼(糖),302,100
67,"五谷类,豆类的食物热量表",1,富强粉切面,285,100
68,"五谷类,豆类的食物热量表",1,标准粉切面,280,100
69,"五谷类,豆类的食物热量表",1,烙饼,255,100
70,"五谷类,豆类的食物热量表",1,"馒头(蒸,标准粉)",233,100
71,"五谷类,豆类的食物热量表",1,麸皮,220,100
72,"五谷类,豆类的食物热量表",1,花卷,217,100
73,"五谷类,豆类的食物热量表",1,"馒头(蒸,富强粉)",208,100
74,"五谷类,豆类的食物热量表",1,水面筋,140,100
75,"五谷类,豆类的食物热量表",1,烤麸,121,100
76,"五谷类,豆类的食物热量表",1,"米饭(蒸,粳米)",117,100
77,"五谷类,豆类的食物热量表",1,"米饭(蒸,籼米)",114,100
78,"五谷类,豆类的食物热量表",1,"面条(煮,富强粉)",109,100
79,"五谷类,豆类的食物热量表",1,鲜玉米,106,46
80,"五谷类,豆类的食物热量表",1,白薯(白心),104,86
81,"五谷类,豆类的食物热量表",1,白薯(红心),99,90
82,"五谷类,豆类的食物热量表",1,粉皮,64,100
83,"五谷类,豆类的食物热量表",1,小米粥,46,100
84,"五谷类,豆类的食物热量表",1,米粥(粳米),46,100
85,"五谷类,豆类的食物热量表",1,豆沙,243,100
86,"五谷类,豆类的食物热量表",1,红豆馅,240,100
87,"五谷类,豆类的食物热量表",1,素火腿,211,100
88,"五谷类,豆类的食物热量表",1,桂林腐乳,204,100
89,"五谷类,豆类的食物热量表",1,豆腐丝,201,100
90,"五谷类,豆类的食物热量表",1,素鸡,192,100
91,"五谷类,豆类的食物热量表",1,素什锦,173,100
92,"五谷类,豆类的食物热量表",1,素大肠,153,100
93,"五谷类,豆类的食物热量表",1,薰干,153,100
94,"五谷类,豆类的食物热量表",1,酱豆腐,151,100
95,"五谷类,豆类的食物热量表",1,香干,147,100
96,"五谷类,豆类的食物热量表",1,豆腐干,140,100
97,"五谷类,豆类的食物热量表",1,上海南乳,138,100
98,"五谷类,豆类的食物热量表",1,菜干,136,100
99,"五谷类,豆类的食物热量表",1,腐乳(白),133,100
100,"五谷类,豆类的食物热量表",1,臭豆腐,130,100
101,"五谷类,豆类的食物热量表",1,北豆腐,98,100
102,"五谷类,豆类的食物热量表",1,酸豆乳,67,100
103,"五谷类,豆类的食物热量表",1,南豆腐,57,100
104,"五谷类,豆类的食物热量表",1,豆奶,30,100
105,"五谷类,豆类的食物热量表",1,豆浆,13,100
106,"五谷类,豆类的食物热量表",1,豆腐脑,10,100
107,蔬菜类的食物热量表,2,干姜,273,95
108,蔬菜类的食物热量表,2,蕨菜(脱水),251,100
109,蔬菜类的食物热量表,2,"竹笋(黑笋,干)",213,76
110,蔬菜类的食物热量表,2,"辣椒(红尖,干)",212,88
111,蔬菜类的食物热量表,2,黄花菜,199,98
112,蔬菜类的食物热量表,2,"竹笋(白笋,干)",196,64
113,蔬菜类的食物热量表,2,紫皮大蒜,136,89
114,蔬菜类的食物热量表,2,大蒜,126,85
115,蔬菜类的食物热量表,2,毛豆,123,53
116,蔬菜类的食物热量表,2,豌豆,105,42
117,蔬菜类的食物热量表,2,蚕豆,104,31
118,蔬菜类的食物热量表,2,慈姑,94,89
119,蔬菜类的食物热量表,2,番茄酱(罐头),81,100
120,蔬菜类的食物热量表,2,芋头,79,84
121,蔬菜类的食物热量表,2,土豆,76,94
122,蔬菜类的食物热量表,2,甜菜,75,90
123,蔬菜类的食物热量表,2,藕,70,88
124,蔬菜类的食物热量表,2,苜蓿,60,100
125,蔬菜类的食物热量表,2,荸荠,59,78
126,蔬菜类的食物热量表,2,山药,56,83
127,蔬菜类的食物热量表,2,香椿,47,76
128,蔬菜类的食物热量表,2,枸杞菜,44,49
129,蔬菜类的食物热量表,2,黄豆芽,44,100
130,蔬菜类的食物热量表,2,胡萝卜(黄),43,97
131,蔬菜类的食物热量表,2,玉兰片,43,100
132,蔬菜类的食物热量表,2,鲜姜,41,95
133,蔬菜类的食物热量表,2,洋葱,39,90
134,蔬菜类的食物热量表,2,胡萝卜(红),37,96
135,蔬菜类的食物热量表,2,扁豆,37,91
136,蔬菜类的食物热量表,2,蒜苗,37,82
137,蔬菜类的食物热量表,2,羊角豆,37,88
138,蔬菜类的食物热量表,2,榆钱,36,100
139,蔬菜类的食物热量表,2,苦菜,35,100
140,蔬菜类的食物热量表,2,刀豆,35,92
141,蔬菜类的食物热量表,2,芥菜头,33,83
142,蔬菜类的食物热量表,2,西兰花(绿菜花),33,83
143,蔬菜类的食物热量表,2,辣椒(红小),32,80
144,蔬菜类的食物热量表,2,香菜,31,81
145,蔬菜类的食物热量表,2,苋菜(紫),31,73
146,蔬菜类的食物热量表,2,芹菜叶,31,100
147,蔬菜类的食物热量表,2,青萝卜,31,95
148,蔬菜类的食物热量表,2,苤蓝,30,78
149,蔬菜类的食物热量表,2,大葱(鲜),30,82
150,蔬菜类的食物热量表,2,冬寒菜,30,58
151,蔬菜类的食物热量表,2,豆角,30,96
152,蔬菜类的食物热量表,2,白豆角,30,97
153,蔬菜类的食物热量表,2,青蒜,30,84
154,蔬菜类的食物热量表,2,豇豆,29,97
155,蔬菜类的食物热量表,2,豇豆(长),29,98
156,蔬菜类的食物热量表,2,豌豆苗,29,98
157,蔬菜类的食物热量表,2,红菜苔,29,52
158,蔬菜类的食物热量表,2,四季豆,28,96
159,蔬菜类的食物热量表,2,荷兰豆,27,88
160,蔬菜类的食物热量表,2,蓟菜,27,88
161,蔬菜类的食物热量表,2,木瓜,27,86
162,蔬菜类的食物热量表,2,韭菜,26,90
163,蔬菜类的食物热量表,2,变萝卜,26,94
164,蔬菜类的食物热量表,2,白菜苔,25,84
165,蔬菜类的食物热量表,2,茭笋,25,77
166,蔬菜类的食物热量表,2,芸豆,25,96
167,蔬菜类的食物热量表,2,茄子(绿皮),25,90
168,蔬菜类的食物热量表,2,苋菜(青),25,74
169,蔬菜类的食物热量表,2,雪里红,24,94
170,蔬菜类的食物热量表,2,小葱,24,73
171,蔬菜类的食物热量表,2,菠菜,24,89
172,蔬菜类的食物热量表,2,菜花,24,82
173,蔬菜类的食物热量表,2,茴香,24,86
174,蔬菜类的食物热量表,2,小叶芥菜,24,88
175,蔬菜类的食物热量表,2,茭白,23,74
176,蔬菜类的食物热量表,2,油菜,23,87
177,蔬菜类的食物热量表,2,"辣椒(青,尖)",23,84
178,蔬菜类的食物热量表,2,南瓜,22,85
179,蔬菜类的食物热量表,2,柿子椒,22,82
180,蔬菜类的食物热量表,2,圆白菜,22,86
181,蔬菜类的食物热量表,2,韭黄,22,88
182,蔬菜类的食物热量表,2,油豆角,22,99
183,蔬菜类的食物热量表,2,毛竹笋,21,67
184,蔬菜类的食物热量表,2,心里美萝卜,21,88
185,蔬菜类的食物热量表,2,蒜黄,21,97
186,蔬菜类的食物热量表,2,茼蒿,21,82
187,蔬菜类的食物热量表,2,番茄罐头(整),21,100
188,蔬菜类的食物热量表,2,茄子,21,93
189,蔬菜类的食物热量表,2,丝瓜,20,83
190,蔬菜类的食物热量表,2,空心菜,20,76
191,蔬菜类的食物热量表,2,"萝卜樱(小,红)",20,93
192,蔬菜类的食物热量表,2,木耳菜,20,76
193,蔬菜类的食物热量表,2,白萝卜,20,95
194,蔬菜类的食物热量表,2,油菜苔,20,93
195,蔬菜类的食物热量表,2,竹笋(春笋),20,66
196,蔬菜类的食物热量表,2,芹菜,20,67
197,蔬菜类的食物热量表,2,芥蓝,19,78
198,蔬菜类的食物热量表,2,小水萝卜,19,66
199,蔬菜类的食物热量表,2,竹笋,19,63
200,蔬菜类的食物热量表,2,西红柿,19,97
201,蔬菜类的食物热量表,2,长茄子,19,96
202,蔬菜类的食物热量表,2,苦瓜,19,81
203,蔬菜类的食物热量表,2,菜瓜,18,88
204,蔬菜类的食物热量表,2,西葫芦,18,73
205,蔬菜类的食物热量表,2,芦笋,18,90
206,蔬菜类的食物热量表,2,莴笋叶,18,89
207,蔬菜类的食物热量表,2,绿豆芽,18,100
208,蔬菜类的食物热量表,2,西洋菜(豆瓣菜),17,73
209,蔬菜类的食物热量表,2,黄瓜,15,92
210,蔬菜类的食物热量表,2,小白菜,15,81
211,蔬菜类的食物热量表,2,牛俐生菜,15,81
212,蔬菜类的食物热量表,2,大白菜(青白口),15,83
213,蔬菜类的食物热量表,2,大白菜(酸菜),14,100
214,蔬菜类的食物热量表,2,大白菜(小白口),14,85
215,蔬菜类的食物热量表,2,大叶芥菜(盖菜),14,71
216,蔬菜类的食物热量表,2,旱芹,14,66
217,蔬菜类的食物热量表,2,萝卜樱(白),14,100
218,蔬菜类的食物热量表,2,莴笋,14,62
219,蔬菜类的食物热量表,2,葫芦,14,87
220,蔬菜类的食物热量表,2,水芹,13,60
221,蔬菜类的食物热量表,2,生菜,13,94
222,蔬菜类的食物热量表,2,笋瓜,12,91
223,蔬菜类的食物热量表,2,冬瓜,11,80
224,蔬菜类的食物热量表,2,竹笋(鞭笋),11,45
225,蔬菜类的食物热量表,2,面西胡瓜,10,88
226,水果类的食物热量表,3,松子仁,698,100
227,水果类的食物热量表,3,松子(生),640,32
228,水果类的食物热量表,3,核桃(干),627,43
229,水果类的食物热量表,3,松子(炒),619,31
230,水果类的食物热量表,3,葵花子(炒),616,52
231,水果类的食物热量表,3,葵花子仁,606,100
232,水果类的食物热量表,3,山核桃(干),601,24
233,水果类的食物热量表,3,葵花子(生),597,50
